hh_id,state,region,district,response_code,multiplier
1101,14,141,1406,1,186.375
1102,14,141,1406,1,186.375
1103,14,141,1406,1,186.375
1104,14,141,1406,1,186.375
1201,14,141,1406,1,53.25
1202,14,141,1406,1,53.25
1203,14,141,1406,1,53.25
1204,14,141,1406,1,53.25
11101,14,141,1406,1,93.19
11102,14,141,1406,1,93.19
11103,14,141,1406,1,93.19
11104,14,141,1406,1,93.19
11201,14,141,1406,1,159.75
11202,14,141,1406,1,159.75
11203,14,141,1406,1,159.75
11204,14,141,1406,1,159.75
21101,14,141,1406,1,255.6
21102,14,141,1406,1,255.6
21201,14,141,1406,1,131.795
21202,14,141,1406,1,131.795
21203,14,141,1406,1,131.795
21204,14,141,1406,1,131.795
21301,14,141,1406,1,5.325
21302,14,141,1406,1,5.325
31101,14,141,1406,1,41.27
31102,14,141,1406,1,41.27
31103,14,141,1406,1,41.27
31104,14,141,1406,1,41.27
31201,14,141,1406,1,129.13
31202,14,141,1406,1,129.13
31203,14,141,1406,1,129.13
31204,14,141,1406,1,129.13
41101,14,141,1406,1,79.875
41102,14,141,1406,1,79.875
41103,14,141,1406,1,79.875
41104,14,141,1406,1,79.875
41201,14,141,1406,1,187.705
41202,14,141,1406,1,187.705
41203,14,141,1406,1,187.705
41204,14,141,1406,1,187.705
51101,14,141,1407,1,81.94
51102,14,141,1407,1,81.94
51103,14,141,1407,1,81.94
51104,14,141,1407,1,81.94
51201,14,141,1407,1,121.125
51202,14,141,1407,1,121.125
51203,14,141,1407,1,121.125
51204,14,141,1407,1,121.125
61101,14,141,1407,1,121.125
61102,14,141,1407,1,121.125
61103,14,141,1407,1,121.125
61104,14,141,1407,1,121.125
61201,14,141,1407,1,163.875
61202,14,141,1407,1,163.875
61203,14,141,1407,1,163.875
61204,14,141,1407,1,163.875
71101,14,141,1406,1,5.325
71102,14,141,1406,1,5.325
71103,14,141,1406,1,5.325
71104,14,141,1406,1,5.325
71105,14,141,1406,1,5.325
71106,14,141,1406,1,5.325
81101,14,141,1406,1,67.895
81102,14,141,1406,1,67.895
81103,14,141,1406,1,67.895
81104,14,141,1406,1,67.895
81201,14,141,1406,1,109.16
81202,14,141,1406,1,109.16
81203,14,141,1406,1,109.16
81204,14,141,1406,1,109.16
91101,14,141,1406,1,87.865
91102,14,141,1406,1,87.865
91201,14,141,1406,1,57.245
91202,14,141,1406,1,57.245
91203,14,141,1406,1,57.245
91204,14,141,1406,1,57.245
91301,14,141,1406,1,18.64
91302,14,141,1406,1,18.64
241101,14,142,1409,1,40.375
241102,14,142,1409,1,40.375
241201,14,142,1409,1,103.06
241202,14,142,1409,1,103.06
241203,14,142,1409,1,103.06
241204,14,142,1409,1,103.06
241301,14,142,1409,1,31.875
241302,14,142,1409,1,31.875
301101,15,151,1502,1,43.125
301102,15,151,1502,1,43.125
